,problem,correct_solution,intermediate_1,intermediate_2
0,"[8, 5, 5, 3] ⋅ [4, 8, 0, 7]",93,32,21
1,"[5, 7, 9, 3] ⋅ [8, 2, 7, 6]",135,40,18
2,"[0, 3, 5, 4] ⋅ [9, 6, 4, 9]",74,0,36
3,"[7, 0, 4, 9] ⋅ [2, 0, 3, 3]",53,14,27
4,"[9, 8, 5, 7] ⋅ [2, 3, 9, 1]",94,18,7
5,"[3, 3, 6, 7] ⋅ [0, 1, 1, 1]",16,0,7
6,"[0, 0, 2, 4] ⋅ [6, 0, 4, 2]",16,0,8
7,"[1, 6, 1, 7] ⋅ [6, 5, 8, 2]",58,6,14
8,"[4, 2, 1, 1] ⋅ [1, 6, 5, 2]",23,4,2
9,"[5, 4, 5, 5] ⋅ [4, 2, 3, 5]",68,20,25
10,"[5, 3, 4, 6] ⋅ [3, 5, 2, 5]",68,15,30
11,"[9, 0, 3, 4] ⋅ [1, 2, 2, 9]",51,9,36
12,"[1, 8, 7, 3] ⋅ [1, 3, 9, 2]",94,1,6
13,"[7, 4, 5, 7] ⋅ [2, 8, 1, 6]",93,14,42
14,"[0, 2, 3, 3] ⋅ [7, 7, 0, 8]",38,0,24
15,"[1, 3, 9, 0] ⋅ [5, 2, 5, 8]",56,5,0
16,"[2, 0, 6, 5] ⋅ [5, 9, 2, 5]",47,10,25
17,"[1, 3, 8, 3] ⋅ [4, 7, 6, 8]",97,4,24
18,"[8, 7, 4, 7] ⋅ [0, 7, 1, 6]",95,0,42
19,"[8, 2, 7, 4] ⋅ [1, 0, 3, 7]",57,8,28
20,"[0, 4, 7, 7] ⋅ [2, 1, 5, 9]",102,0,63
21,"[8, 6, 4, 2] ⋅ [3, 0, 7, 6]",64,24,12
22,"[4, 8, 7, 7] ⋅ [1, 8, 4, 6]",138,4,42
23,"[7, 5, 1, 1] ⋅ [3, 1, 5, 1]",32,21,1
24,"[0, 2, 1, 7] ⋅ [4, 9, 3, 6]",63,0,42
25,"[5, 4, 6, 3] ⋅ [4, 2, 0, 5]",43,20,15
26,"[3, 4, 3, 2] ⋅ [5, 2, 2, 3]",35,15,6
27,"[2, 3, 9, 4] ⋅ [9, 3, 8, 9]",135,18,36
28,"[0, 4, 0, 1] ⋅ [7, 5, 2, 9]",29,0,9
29,"[8, 2, 9, 1] ⋅ [5, 4, 8, 3]",123,40,3
30,"[1, 6, 3, 3] ⋅ [7, 3, 3, 7]",55,7,21
31,"[8, 7, 8, 2] ⋅ [4, 8, 9, 8]",176,32,16
32,"[9, 0, 6, 4] ⋅ [2, 5, 3, 5]",56,18,20
33,"[2, 1, 0, 2] ⋅ [3, 0, 8, 4]",14,6,8
34,"[7, 4, 1, 5] ⋅ [2, 0, 2, 0]",16,14,0
35,"[1, 3, 7, 7] ⋅ [9, 2, 1, 6]",64,9,42
36,"[2, 4, 8, 9] ⋅ [6, 2, 1, 7]",91,12,63
37,"[5, 3, 2, 7] ⋅ [4, 9, 3, 1]",60,20,7
38,"[3, 4, 1, 2] ⋅ [0, 0, 4, 6]",16,0,12
39,"[3, 0, 9, 3] ⋅ [2, 5, 1, 6]",33,6,18
40,"[3, 9, 0, 3] ⋅ [4, 6, 9, 6]",84,12,18
41,"[2, 7, 4, 5] ⋅ [2, 0, 4, 7]",55,4,35
42,"[2, 1, 8, 6] ⋅ [4, 1, 4, 5]",71,8,30
43,"[3, 3, 4, 9] ⋅ [3, 9, 6, 9]",141,9,81
44,"[1, 5, 1, 9] ⋅ [1, 8, 3, 1]",53,1,9
45,"[1, 6, 2, 8] ⋅ [0, 7, 7, 0]",56,0,0
46,"[3, 5, 9, 9] ⋅ [6, 0, 3, 9]",126,18,81
47,"[0, 7, 8, 8] ⋅ [9, 2, 0, 0]",14,0,0
48,"[2, 1, 9, 1] ⋅ [4, 3, 1, 4]",24,8,4
49,"[4, 5, 4, 4] ⋅ [8, 2, 5, 4]",78,32,16
50,"[4, 7, 6, 0] ⋅ [9, 9, 8, 6]",147,36,0
51,"[4, 6, 6, 4] ⋅ [9, 3, 2, 1]",70,36,4
52,"[1, 3, 8, 9] ⋅ [2, 5, 7, 0]",73,2,0
53,"[3, 3, 2, 2] ⋅ [2, 2, 6, 0]",24,6,0
54,"[4, 9, 6, 6] ⋅ [6, 3, 9, 1]",111,24,6
55,"[2, 9, 0, 8] ⋅ [9, 5, 1, 9]",135,18,72
56,"[4, 7, 3, 7] ⋅ [1, 5, 2, 9]",108,4,63
57,"[9, 3, 8, 2] ⋅ [2, 5, 3, 9]",75,18,18
58,"[3, 2, 6, 1] ⋅ [4, 4, 2, 3]",35,12,3
59,"[0, 6, 9, 0] ⋅ [6, 4, 4, 5]",60,0,0
60,"[6, 4, 2, 3] ⋅ [7, 8, 0, 9]",101,42,27
61,"[5, 9, 1, 3] ⋅ [1, 1, 9, 2]",29,5,6
62,"[8, 5, 3, 5] ⋅ [2, 7, 9, 4]",98,16,20
63,"[5, 2, 1, 1] ⋅ [1, 3, 5, 8]",24,5,8
64,"[2, 2, 9, 9] ⋅ [2, 4, 1, 5]",66,4,45
65,"[2, 8, 0, 6] ⋅ [5, 8, 3, 6]",110,10,36
66,"[1, 5, 2, 4] ⋅ [5, 6, 4, 8]",75,5,32
67,"[7, 3, 9, 1] ⋅ [5, 3, 5, 6]",95,35,6
68,"[9, 7, 6, 1] ⋅ [3, 7, 9, 7]",137,27,7
69,"[6, 3, 9, 9] ⋅ [5, 0, 2, 3]",75,30,27
70,"[6, 5, 2, 9] ⋅ [8, 9, 3, 2]",117,48,18
71,"[6, 7, 3, 4] ⋅ [7, 8, 3, 2]",115,42,8
